ns2:coordinates;ns3:carretera;ns3:municipi;ns3:pk;ns3:link;ns3:font;font;id;url
1.50065231,42.49383514;CG1 (PONT SANTA COLOMA;Andorra;;http://www.mobilitat.ad/mapa/fotos/adm_Pont_Santa_Coloma.jpg?a=1;Andorra;andorra;adm_Pont_Santa_Coloma;?font=andorra&id=adm_Pont_Santa_Coloma
1.58929257,42.53669708;CG2;Andorra;5,56;http://www.mobilitat.ad/mapa/fotos/adm_mpeg_Encamp%20Nord.jpg?a=1;Andorra;andorra;adm_mpeg_Encamp%20Nord;?font=andorra&id=adm_mpeg_Encamp%20Nord
1.70063604,42.54668826;CG2;Andorra;21,42;http://www.mobilitat.ad/mapa/fotos/adm_mpeg_Grau%20Roig.jpg?a=1;Andorra;andorra;adm_mpeg_Grau%20Roig;?font=andorra&id=adm_mpeg_Grau%20Roig
1.73071993,42.54664232;CG2;Andorra;30;http://www.mobilitat.ad/mapa/fotos/adm_mpeg_Bombers.jpg?a=1;Andorra;andorra;adm_mpeg_Bombers;?font=andorra&id=adm_mpeg_Bombers
1.47415294,42.43629443;CG1;Andorra;11,18;http://www.mobilitat.ad/mapa/fotos/adm_h263_Riu%20Runner.jpg?a=1;Andorra;andorra;adm_h263_Riu%20Runner;?font=andorra&id=adm_h263_Riu%20Runner
1.48938748,42.4805262;CG1;Andorra;5,3;http://www.mobilitat.ad/mapa/fotos/adm_h263_Margineda.jpg?a=1;Andorra;andorra;adm_h263_Margineda;?font=andorra&id=adm_h263_Margineda
1.5278171,42.50519513;CG1;Andorra;0,4;http://www.mobilitat.ad/mapa/fotos/adm_mpeg4_bus.jpg?a=1;Andorra;andorra;adm_mpeg4_bus;?font=andorra&id=adm_mpeg4_bus
1.4866837,42.45700833;CG1;Andorra;8,5;http://www.mobilitat.ad/mapa/fotos/adm_h263_Sant%20Eloi.jpg?a=1;Andorra;andorra;adm_h263_Sant%20Eloi;?font=andorra&id=adm_h263_Sant%20Eloi
2.18207217,41.38141543;Pla�a Antonio L�pez;Barcelona;;http://www.bcn.cat/transit/imatges/PlAntonioLopez.gif?a=1;IMI;bcn;PlAntonioLopez;?font=bcn&id=PlAntonioLopez
2.16560024,41.3871296;Balmes - Gran Via;Barcelona;;http://www.bcn.cat/transit/imatges/BalmesGranVia.gif?a=1;IMI;bcn;BalmesGranVia;?font=bcn&id=BalmesGranVia
2.14077336,41.40444905;Balmes - Mitre;Barcelona;;http://www.bcn.cat/transit/imatges/BalmesMitre.gif?a=1;IMI;bcn;BalmesMitre;?font=bcn&id=BalmesMitre
2.14766551,41.40120644;Pla�a Molina;Barcelona;;http://www.bcn.cat/transit/imatges/PlMolina.gif?a=1;IMI;bcn;PlMolina;?font=bcn&id=PlMolina
2.18912039,41.39305967;Marina - Pujades;Barcelona;;http://www.bcn.cat/transit/imatges/MarinaPujades.gif?a=1;IMI;bcn;MarinaPujades;?font=bcn&id=MarinaPujades
2.10713156,41.38865464;Ronda de Dalt / Carretera Esplugues;Barcelona;;http://www.bcn.cat/transit/imatges/RondadeDaltCrtaEsplugues.gif?a=1;IMI;bcn;RondadeDaltCrtaEsplugues;?font=bcn&id=RondadeDaltCrtaEsplugues
2.1468751,41.34935557;Ronda Litoral / Zona Franca;Barcelona;;http://www.bcn.cat/transit/imatges/RondaLitoralZonaFranca.gif?a=1;IMI;bcn;RondaLitoralZonaFranca;?font=bcn&id=RondaLitoralZonaFranca
2.15162852,41.43769067;Ronda de Dalt / Vel�drom;Barcelona;;http://www.bcn.cat/transit/imatges/RondadeDaltVelodrom.gif?a=1;IMI;bcn;RondadeDaltVelodrom;?font=bcn&id=RondadeDaltVelodrom
2.13618326,41.41525263;Ronda de Dalt / Sant Gervasi;Barcelona;;http://www.bcn.cat/transit/imatges/RondadeDaltSantGervasi.gif?a=1;IMI;bcn;RondadeDaltSantGervasi;?font=bcn&id=RondadeDaltSantGervasi
2.19057765,41.40415691;Diagonal - Ciutat de Granada;Barcelona;;http://www.bcn.cat/transit/imatges/DiagonalCiutatdeGranada.gif?a=1;IMI;bcn;DiagonalCiutatdeGranada;?font=bcn&id=DiagonalCiutatdeGranada
2.17228212,41.38890733;Pla�a Urquinaona;Barcelona;;http://www.bcn.cat/transit/imatges/PlUrquinaona.gif?a=1;IMI;bcn;PlUrquinaona;?font=bcn&id=PlUrquinaona
2.18124953,41.39914869;Gran Via - Marina;Barcelona;;http://www.bcn.cat/transit/imatges/GranViaMarina.gif?a=1;IMI;bcn;GranViaMarina;?font=bcn&id=GranViaMarina
2.14976484,41.37516851;Pla�a Espanya - Paral�lel;Barcelona;;http://www.bcn.cat/transit/imatges/PlEspanya.gif?a=1;IMI;bcn;PlEspanya;?font=bcn&id=PlEspanya
2.16863241,41.38749875;Pla�a Catalunya - Pelai;Barcelona;;http://www.bcn.cat/transit/imatges/PlCatalunya.gif?a=1;IMI;bcn;PlCatalunya;?font=bcn&id=PlCatalunya
2.1871113,41.42029817;Meridiana - Felip II;Barcelona;;http://www.bcn.cat/transit/imatges/MeridianaFelipII.gif?a=1;IMI;bcn;MeridianaFelipII;?font=bcn&id=MeridianaFelipII
2.17973115,41.37724461;Ronda Litoral / Moll de la Fusta;Barcelona;;http://www.bcn.cat/transit/imatges/RondaLitoralMollFusta.gif?a=1;IMI;bcn;RondaLitoralMollFusta;?font=bcn&id=RondaLitoralMollFusta
2.20302198,41.39294027;Ronda Litoral / Badajoz;Barcelona;;http://www.bcn.cat/transit/imatges/RondaLitoralBadajoz.gif?a=1;IMI;bcn;RondaLitoralBadajoz;?font=bcn&id=RondaLitoralBadajoz
2.1877678,41.44698951;Ronda de Dalt / Meridiana;Barcelona;;http://www.bcn.cat/transit/imatges/RondadeDaltMeridiana.gif?a=1;IMI;bcn;RondadeDaltMeridiana;?font=bcn&id=RondadeDaltMeridiana
2.14417036,41.3810396;Pla�a Pa�sos Catalans;Barcelona;;http://www.bcn.cat/transit/imatges/PlPaissosCatalans.gif?a=1;IMI;bcn;PlPaissosCatalans;?font=bcn&id=PlPaissosCatalans
2.12703713,41.38836632;Diagonal - Maria Cristina;Barcelona;;http://www.bcn.cat/transit/imatges/DiagonalMCristina.gif?a=1;IMI;bcn;DiagonalMCristina;?font=bcn&id=DiagonalMCristina
2.18532062,41.38165624;Pla�a Pau Vila;Barcelona;;http://www.bcn.cat/transit/imatges/PlPauVila.gif?a=1;IMI;bcn;PlPauVila;?font=bcn&id=PlPauVila
2.20924092,41.43597442;Ronda Litoral / Bon Pastor;Barcelona;;http://www.bcn.cat/transit/imatges/RondaLitoralBonPastor.gif?a=1;IMI;bcn;RondaLitoralBonPastor;?font=bcn&id=RondaLitoralBonPastor
2.18641026,41.44309219;Meridiana - Rio de Janeiro;Barcelona;;http://www.bcn.cat/transit/imatges/MeridianaRioJaneiro.gif?a=1;IMI;bcn;MeridianaRioJaneiro;?font=bcn&id=MeridianaRioJaneiro
2.16487462,41.39225298;Arag� - Passeig de Gr�cia;Barcelona;;http://www.bcn.cat/transit/imatges/AragoPgGracia.gif?a=1;IMI;bcn;AragoPgGracia;?font=bcn&id=AragoPgGracia
2.13587689,41.36499236;Pla�a Cerd�;Barcelona;;http://www.bcn.cat/transit/imatges/PlCerda.gif?a=1;IMI;bcn;PlCerda;?font=bcn&id=PlCerda
2.1849528,41.45989301;C-58;Nus Trinitat;0,5;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc87.jpg;SCT;gencat;nc87;?font=gencat&id=nc87
2.17446844,41.46672443;C-58;MONTCADA I REIXAC;1,82;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc85.jpg;SCT;gencat;nc85;?font=gencat&id=nc85
2.1480753,41.4983473;C-58;Ripollet;6,15;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc89.jpg;SCT;gencat;nc89;?font=gencat&id=nc89
3.09302557,41.95173528;C-66;FORALLAC;5,3;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb24.jpg;SCT;gencat;cb24;?font=gencat&id=cb24
